Distance,Time,yyyy-mm-dd_HH-MM-SS
5020.8162,0.481474,2024-07-16_21-26-59
4974.8533,1.240434,2024-07-16_21-27-00
4980.3646,2.013791,2024-07-16_21-27-01
4989.9523,2.768165,2024-07-16_21-27-02
5058.4748,3.541766,2024-07-16_21-27-02
5052.8841,4.311119,2024-07-16_21-27-03
5064.0032,5.071309,2024-07-16_21-27-04
5074.3134,5.843095,2024-07-16_21-27-05
5085.602,6.611063,2024-07-16_21-27-06
5108.0091,7.367737,2024-07-16_21-27-06
5155.9964,8.13789,2024-07-16_21-27-07
5063.8983,8.9111,2024-07-16_21-27-08
5022.3254,9.668113,2024-07-16_21-27-09
5045.5751,10.43703,2024-07-16_21-27-09
4989.3212,11.20366,2024-07-16_21-27-10
4928.3993,11.97611,2024-07-16_21-27-11
4901.1813,12.73144,2024-07-16_21-27-12
4805.7107,13.49993,2024-07-16_21-27-12
4793.8674,14.27182,2024-07-16_21-27-13
4801.8724,15.04279,2024-07-16_21-27-14
4807.1589,15.80457,2024-07-16_21-27-15
4786.9797,16.57531,2024-07-16_21-27-15
4732.6857,17.33396,2024-07-16_21-27-16
4703.135,18.10248,2024-07-16_21-27-17
4716.6429,18.86564,2024-07-16_21-27-18
4715.8682,19.63353,2024-07-16_21-27-19
4723.6348,20.40674,2024-07-16_21-27-19
4727.8022,21.16596,2024-07-16_21-27-20
4793.4855,21.93939,2024-07-16_21-27-21
4817.1473,22.7095,2024-07-16_21-27-22
5422.4509,23.46673,2024-07-16_21-27-22
5648.0035,24.23785,2024-07-16_21-27-23
6153.0301,25.00921,2024-07-16_21-27-24
6204.4081,25.76134,2024-07-16_21-27-25
6014.9898,26.53267,2024-07-16_21-27-25
5928.9218,27.30641,2024-07-16_21-27-26
5806.6963,28.06397,2024-07-16_21-27-27
5908.4197,28.83446,2024-07-16_21-27-28
6170.0946,29.60827,2024-07-16_21-27-29
6115.4179,30.36561,2024-07-16_21-27-29
5962.2232,31.13897,2024-07-16_21-27-30
5127.2919,31.90716,2024-07-16_21-27-31
5006.6776,32.66524,2024-07-16_21-27-32
4625.155,33.43823,2024-07-16_21-27-32
5812.0916,34.21034,2024-07-16_21-27-33
5939.9497,34.96867,2024-07-16_21-27-34
5904.3144,35.73411,2024-07-16_21-27-35
5979.2152,36.50354,2024-07-16_21-27-35
5913.203,37.26236,2024-07-16_21-27-36
5094.0339,38.04104,2024-07-16_21-27-37
4563.7066,38.79648,2024-07-16_21-27-38
4509.4887,39.56872,2024-07-16_21-27-38
4470.2009,40.35582,2024-07-16_21-27-39
4501.1235,41.10811,2024-07-16_21-27-40
4481.3856,41.85972,2024-07-16_21-27-41
4458.4018,42.64073,2024-07-16_21-27-42
4432.5491,43.39653,2024-07-16_21-27-42
4506.2333,44.17127,2024-07-16_21-27-43
4542.3382,44.93076,2024-07-16_21-27-44
4597.5885,45.70061,2024-07-16_21-27-45
4602.8551,46.45844,2024-07-16_21-27-45
4636.7683,47.23258,2024-07-16_21-27-46
4690.8787,47.99131,2024-07-16_21-27-47
4677.2601,48.76759,2024-07-16_21-27-48
4715.9661,49.52469,2024-07-16_21-27-48
4734.3949,50.30016,2024-07-16_21-27-49
4779.1645,51.06459,2024-07-16_21-27-50
4801.6079,51.83756,2024-07-16_21-27-51
4844.3026,52.59348,2024-07-16_21-27-51
4829.748,53.3657,2024-07-16_21-27-52
4789.3253,54.13503,2024-07-16_21-27-53
4840.5164,54.89187,2024-07-16_21-27-54
4793.4301,55.66257,2024-07-16_21-27-55
4806.0545,56.43213,2024-07-16_21-27-55
4906.4095,57.18912,2024-07-16_21-27-56
4971.4431,57.96144,2024-07-16_21-27-57
4988.8816,58.73727,2024-07-16_21-27-58
5062.4346,59.49625,2024-07-16_21-27-58
5122.2868,60.26714,2024-07-16_21-27-59
5114.4094,61.03099,2024-07-16_21-28-00
5070.9263,61.80405,2024-07-16_21-28-01
5210.8412,62.56212,2024-07-16_21-28-01
5277.7216,63.32369,2024-07-16_21-28-02
5368.8157,64.09671,2024-07-16_21-28-03
5323.6287,64.86738,2024-07-16_21-28-04
5294.4665,65.62527,2024-07-16_21-28-05
5290.7696,66.40014,2024-07-16_21-28-05
5332.6906,67.15782,2024-07-16_21-28-06
5392.4766,67.93383,2024-07-16_21-28-07
5307.5633,68.68655,2024-07-16_21-28-08
5344.9138,69.45899,2024-07-16_21-28-08
5395.9091,70.23547,2024-07-16_21-28-09
5420.7601,70.99189,2024-07-16_21-28-10
5429.8918,71.76678,2024-07-16_21-28-11
5477.636,72.53119,2024-07-16_21-28-11
5591.7325,73.30073,2024-07-16_21-28-12
5453.6212,74.05809,2024-07-16_21-28-13
5442.0467,74.83271,2024-07-16_21-28-14
5397.5708,75.5897,2024-07-16_21-28-14
5458.2841,76.36256,2024-07-16_21-28-15
5419.4969,77.1222,2024-07-16_21-28-16
5509.1227,77.8899,2024-07-16_21-28-17
