Distance,Time,yyyy-mm-dd_HH-MM-SS
58937.2777,135.465,2024-07-10_19-48-17
58945.2969,136.4883,2024-07-10_19-48-19
58943.5238,137.4988,2024-07-10_19-48-20
58946.9546,138.5256,2024-07-10_19-48-21
58709.6784,139.5298,2024-07-10_19-48-22
58947.4144,140.5513,2024-07-10_19-48-23
58937.8686,141.5725,2024-07-10_19-48-24
58981.1372,142.5662,2024-07-10_19-48-25
58944.813,143.5916,2024-07-10_19-48-26
58965.4455,144.6173,2024-07-10_19-48-27
58946.4704,145.6144,2024-07-10_19-48-28
58962.0564,146.6407,2024-07-10_19-48-29
58951.1245,147.6564,2024-07-10_19-48-30
58960.491,148.6835,2024-07-10_19-48-31
58955.4792,149.6791,2024-07-10_19-48-32
58948.3345,150.6879,2024-07-10_19-48-33
58967.5465,151.7323,2024-07-10_19-48-34
58951.2868,152.7203,2024-07-10_19-48-35
58938.0462,153.7623,2024-07-10_19-48-36
58941.0534,154.7534,2024-07-10_19-48-37
58943.8689,155.7821,2024-07-10_19-48-38
58967.2581,156.8045,2024-07-10_19-48-39
58959.2754,157.8026,2024-07-10_19-48-40
58924.2472,158.841,2024-07-10_19-48-41
58971.1746,159.8362,2024-07-10_19-48-42
58957.5585,160.8468,2024-07-10_19-48-43
58966.2255,161.8854,2024-07-10_19-48-44
58950.4179,162.8738,2024-07-10_19-48-45
58957.5087,163.9007,2024-07-10_19-48-46
58962.8112,164.9305,2024-07-10_19-48-47
58925.7555,165.9225,2024-07-10_19-48-48
58971.92,166.9372,2024-07-10_19-48-49
58959.1834,167.9827,2024-07-10_19-48-50
58949.6381,168.9676,2024-07-10_19-48-51
58956.3576,169.9928,2024-07-10_19-48-52
58966.8822,171.0212,2024-07-10_19-48-53
58937.4179,172.0236,2024-07-10_19-48-54
58942.2189,173.0425,2024-07-10_19-48-55
58905.3513,174.0539,2024-07-10_19-48-56
58949.6646,175.0735,2024-07-10_19-48-57
58955.7506,176.0778,2024-07-10_19-48-58
58950.392,177.0988,2024-07-10_19-48-59
