Distance,Time,yyyy-mm-dd_HH-MM-SS
-56.2917,0.8529677,2024-07-15_17-14-24
-44.9857,1.610798,2024-07-15_17-14-25
-40.229,2.380204,2024-07-15_17-14-26
-42.9577,3.151136,2024-07-15_17-14-26
-52.7355,3.91043,2024-07-15_17-14-27
-46.2212,4.681192,2024-07-15_17-14-28
-52.0067,5.44306,2024-07-15_17-14-29
-42.062,6.221375,2024-07-15_17-14-30
-46.7523,6.975656,2024-07-15_17-14-30
-48.5397,7.754513,2024-07-15_17-14-31
-45.273,8.521552,2024-07-15_17-14-32
-54.5484,9.28496,2024-07-15_17-14-33
-59.3021,10.04335,2024-07-15_17-14-33
-53.5637,10.81695,2024-07-15_17-14-34
-56.0557,11.57361,2024-07-15_17-14-35
-52.1878,12.35095,2024-07-15_17-14-36
-52.9952,13.1167,2024-07-15_17-14-36
-52.8237,13.88505,2024-07-15_17-14-37
-56.2892,14.66433,2024-07-15_17-14-38
-52.4458,15.43162,2024-07-15_17-14-39
-56.3117,16.19644,2024-07-15_17-14-40
-52.109,16.95869,2024-07-15_17-14-40
-55.2183,17.72866,2024-07-15_17-14-41
-53.6961,18.48514,2024-07-15_17-14-42
-51.0972,19.25907,2024-07-15_17-14-43
-63.5181,20.03128,2024-07-15_17-14-43
-67.571,20.78299,2024-07-15_17-14-44
-57.8092,21.56219,2024-07-15_17-14-45
-63.6773,22.32903,2024-07-15_17-14-46
-59.2651,23.08453,2024-07-15_17-14-46
-51.0684,23.85445,2024-07-15_17-14-47
-63.1089,24.62817,2024-07-15_17-14-48
-65.2084,25.391,2024-07-15_17-14-49
-57.7004,26.15667,2024-07-15_17-14-49
-61.0929,26.92935,2024-07-15_17-14-50
-61.0283,27.68371,2024-07-15_17-14-51
-55.8809,28.46085,2024-07-15_17-14-52
-58.6102,29.22475,2024-07-15_17-14-53
-57.4147,29.99419,2024-07-15_17-14-53
-62.6869,30.7535,2024-07-15_17-14-54
-59.6758,31.5251,2024-07-15_17-14-55
-52.3216,32.28335,2024-07-15_17-14-56
-59.3749,33.06147,2024-07-15_17-14-56
-53.7929,33.82813,2024-07-15_17-14-57
-60.9639,34.58731,2024-07-15_17-14-58
-55.9105,35.36051,2024-07-15_17-14-59
-60.3286,36.11781,2024-07-15_17-14-59
-63.616,36.88593,2024-07-15_17-15-00
-63.0694,37.6586,2024-07-15_17-15-01
-58.5964,38.4325,2024-07-15_17-15-02
-54.0721,39.19381,2024-07-15_17-15-03
-70.973,39.95196,2024-07-15_17-15-03
-75.9492,40.7218,2024-07-15_17-15-04
-57.3274,41.49699,2024-07-15_17-15-05
-57.6229,42.26149,2024-07-15_17-15-06
-65.7778,43.02991,2024-07-15_17-15-06
-62.7662,43.79643,2024-07-15_17-15-07
-68.4993,44.55589,2024-07-15_17-15-08
-65.984,45.32793,2024-07-15_17-15-09
-60.6461,46.09685,2024-07-15_17-15-09
-67.9065,46.8522,2024-07-15_17-15-10
-59.282,47.62738,2024-07-15_17-15-11
-53.1023,48.3856,2024-07-15_17-15-12
-67.6154,49.15836,2024-07-15_17-15-12
-60.7678,49.92837,2024-07-15_17-15-13
-59.7579,50.69994,2024-07-15_17-15-14
-59.2632,51.45588,2024-07-15_17-15-15
-70.068,52.22557,2024-07-15_17-15-16
-61.5868,52.99582,2024-07-15_17-15-16
-71.1414,53.75838,2024-07-15_17-15-17
-51.3111,54.53451,2024-07-15_17-15-18
-62.8592,55.29086,2024-07-15_17-15-19
-56.5786,56.0664,2024-07-15_17-15-19
-61.8418,56.82168,2024-07-15_17-15-20
-63.9723,57.59342,2024-07-15_17-15-21
-60.7102,58.36859,2024-07-15_17-15-22
-58.8127,59.13529,2024-07-15_17-15-22
-61.9697,59.89571,2024-07-15_17-15-23
-59.0866,60.6696,2024-07-15_17-15-24
-75.0827,61.42256,2024-07-15_17-15-25
-63.6454,62.19533,2024-07-15_17-15-26
-64.2365,62.96773,2024-07-15_17-15-26
-69.1041,63.72767,2024-07-15_17-15-27
-69.6565,64.50076,2024-07-15_17-15-28
-66.3857,65.26962,2024-07-15_17-15-29
-61.9999,66.0267,2024-07-15_17-15-29
